date,type,price,z_score,reason,position,signals,pnl_pct
2020-01-02,BUY,6985.47021484375,0.9536409931043888,正常偏低买入30%,0.42946285757903035,,
2020-01-03,BUY,7344.88427734375,1.2024932834173223,正常买入20%,0.7017612253244909,,
2020-03-12,BUY,4970.7880859375,-0.6528049787759944,低估买入30%,1.3052872554296737,,
2020-03-13,BUY,5563.70703125,0.0120642329397375,正常买入20%,1.6647598137017903,,
2020-08-06,SELL,11779.7734375,4.10935467317871,混合卖出15%(RSI超买(77.9)+RSI从超买回落),1.4150458416465217,RSI超买(77.9)+RSI从超买回落,68.63250540341024
2020-10-22,SELL,12965.8916015625,4.650807064843854,混合卖出15%(RSI超买(88.6)+RSI从超买回落),1.2027889653995434,RSI超买(88.6)+RSI从超买回落,85.61229527556607
2020-10-23,SELL,12931.5390625,4.594845567912048,混合卖出20%(RSI超买(86.7)+RSI从超买回落),0.9622311723196347,RSI超买(86.7)+RSI从超买回落,85.12052395587017
2020-10-24,SELL,13108.0625,4.684076281399533,混合卖出25%(RSI超买(86.4)+RSI从超买回落),0.7216733792397261,RSI超买(86.4)+RSI从超买回落,87.64753261915095
2020-12-20,SELL,23477.294921875,4.297573692729259,混合卖出15%(RSI超买(76.0)+RSI从超买回落),0.6134223723537672,RSI超买(76.0)+RSI从超买回落,236.0875388458032
2020-12-21,SELL,22803.08203125,4.04024349812753,混合卖出20%(RSI超买(71.3)+RSI从超买回落),0.49073789788301375,RSI超买(71.3)+RSI从超买回落,226.43589235832215
2020-12-27,SELL,26272.294921875,4.268742810880652,混合卖出15%(RSI超买(83.4)+RSI从超买回落),0.4171272132005617,RSI超买(83.4)+RSI从超买回落,276.09916174358284
2020-12-30,SELL,28840.953125,4.375981636201718,混合卖出20%(RSI超买(84.0)+RSI从超买回落),0.33370177056044936,RSI超买(84.0)+RSI从超买回落,312.87060481217884
2020-12-31,SELL,29001.720703125,4.277164798795291,混合卖出25%(RSI超买(81.8)+RSI从超买回落),0.25027632792033705,RSI超买(81.8)+RSI从超买回落,315.17206159576625
2021-04-22,BUY,51762.2734375,1.8849059301727344,正常买入20%,0.2889145071806604,,
2021-05-23,BUY,34770.58203125,0.9702141271964196,正常偏低买入30%,0.37519433986519113,,
2021-10-15,SELL,61593.94921875,4.405541704830101,混合卖出15%(RSI超买(82.3)+RSI从超买回落),0.3189151888854125,RSI超买(82.3)+RSI从超买回落,781.7437813687354
2021-10-16,SELL,60892.1796875,4.33217936603434,混合卖出20%(RSI超买(81.2)+RSI从超买回落),0.25513215110833,RSI超买(81.2)+RSI从超买回落,771.6976497603179
2021-10-18,SELL,62026.078125,4.399173123732254,混合卖出25%(RSI超买(80.9)+RSI从超买回落),0.1913491133312475,RSI超买(80.9)+RSI从超买回落,787.9298918660895
2022-01-05,BUY,43569.00390625,1.9748250754094088,正常买入20%,0.23725330715453338,,
2022-05-09,BUY,30296.953125,0.752014518301782,正常偏低买入30%,0.33627316527764295,,
2022-06-13,BUY,22487.388671875,-0.1287658291421737,低估买入30%,0.4696812743193167,,
2022-11-21,BUY,15787.2841796875,-1.0768192028487733,极度低估买入20%,0.596365508113833,,
2023-04-20,BUY,28245.98828125,1.971709825584672,正常买入20%,0.6671720233642703,,
2023-10-11,SELL,26873.3203125,4.146878765970489,混合卖出15%(MACD死叉+MACD柱转负),0.5670962198596298,MACD死叉+MACD柱转负,284.7030978014283
2023-10-23,SELL,33086.234375,7.678638579144249,MVRV极度高估卖出30%,0.39696735390174087,MVRV极度高估,373.6436253739014
2023-10-25,SELL,34502.8203125,8.003776705186432,MVRV泡沫卖出30%,0.27787714773121863,MVRV极度高估,393.9226601980688
2023-10-30,SELL,34502.36328125,6.990383102815102,混合卖出20%(RSI超买(89.2)+RSI从超买回落),0.2223017181849749,RSI超买(89.2)+RSI从超买回落,393.91611759984784
2023-11-02,SELL,34938.2421875,6.625586144681084,混合卖出25%(RSI超买(86.7)+RSI从超买回落),0.16672628863873118,RSI超买(86.7)+RSI从超买回落,400.15591095439936
2024-02-29,SELL,61198.3828125,4.233975619370207,混合卖出15%(RSI超买(77.8)+RSI从超买回落),0.1417173453429215,RSI超买(77.8)+RSI从超买回落,776.0810787290555
2024-03-05,SELL,63801.19921875,4.061915272710291,混合卖出20%(RSI超买(71.2)+RSI从超买回落),0.11337387627433719,RSI超买(71.2)+RSI从超买回落,813.3415111151126
2024-03-09,SELL,68498.8828125,4.143431691894912,混合卖出25%(RSI超买(78.8)+RSI从超买回落),0.08503040720575289,RSI超买(78.8)+RSI从超买回落,880.5908651209127
2024-08-30,SELL,59119.4765625,5.369699729722543,混合卖出15%(MACD死叉+MACD柱转负),0.07227584612488995,MACD死叉+MACD柱转负,746.3206447702587
2024-09-19,SELL,62940.45703125,7.146162123679425,MVRV极度高估卖出30%,0.05059309228742297,MVRV极度高估,801.0196177990267
2024-10-01,SELL,60837.0078125,6.92781144901068,混合卖出20%(MACD死叉+MACD柱转负),0.04047447382993837,MACD死叉+MACD柱转负,770.9078407238015
2024-10-14,SELL,66046.125,8.29823018886725,MVRV泡沫卖出30%,0.02833213168095686,MVRV极度高估,845.4785858173946
2024-10-20,SELL,69001.703125,9.012300605877831,MVRV极端泡沫卖出20%,0.022665705344765488,MVRV极度高估,887.7889533960803
2024-11-26,SELL,91985.3203125,6.021594805381986,混合卖出25%(MACD死叉+MACD柱转负),0.016999279008574116,MACD死叉+MACD柱转负,1216.8092838909558
2025-04-23,SELL,93699.109375,4.224440575185392,混合卖出15%(RSI超买(74.3)+RSI从超买回落),0.014449387157288,RSI超买(74.3)+RSI从超买回落,1241.342908826587
2025-04-25,SELL,94720.5,4.402879381540334,混合卖出20%(RSI超买(83.0)+RSI从超买回落),0.0115595097258304,RSI超买(83.0)+RSI从超买回落,1255.9645533771516
2025-04-26,SELL,94646.9296875,4.453171995680282,混合卖出25%(RSI超买(80.5)+RSI从超买回落),0.0086696322943728,RSI超买(80.5)+RSI从超买回落,1254.9113628225105
