trade_id,entry_date,exit_date,position_level,entry_price,exit_price,shares,amount,pnl_pct,pnl_amount,exit_reason
1,2020-03-04 00:00:00+00:00,2020-03-12 00:00:00+00:00,1,8755.24609375,7441.9591796875,1.7132585240188583,15000.0,-14.999999999999996,-2249.9999999999995,止损
2,2020-03-05 00:00:00+00:00,2020-03-12 00:00:00+00:00,1,9078.7626953125,7716.948291015625,1.6522075202763833,15000.0,-15.000000000000002,-2250.0000000000005,止损
3,2020-03-17 00:00:00+00:00,2020-04-29 00:00:00+00:00,1,5225.62939453125,8801.0380859375,2.870467625526194,15000.0,68.42063264471076,10263.094896706616,止盈
4,2020-03-18 00:00:00+00:00,2020-04-29 00:00:00+00:00,1,5238.4384765625,8801.0380859375,2.8634487294471587,15000.0,68.00880883329191,10201.321324993787,止盈
5,2020-03-19 00:00:00+00:00,2020-05-07 00:00:00+00:00,1,6191.19287109375,9951.5185546875,2.423687247469259,15005.51520829251,60.736691004256215,9113.853405657295,止盈
6,2020-03-20 00:00:00+00:00,2020-05-07 00:00:00+00:00,1,6198.7783203125,9951.5185546875,2.5529171219428353,15824.96730905383,60.53999740687311,9580.434798539705,止盈
7,2020-06-22 00:00:00+00:00,2020-11-05 00:00:00+00:00,2,9648.7177734375,15579.8486328125,2.5910178520117886,25000.0,61.470663757034586,15367.665939258646,止盈
8,2020-06-22 00:00:00+00:00,2020-11-05 00:00:00+00:00,3,9648.7177734375,15579.8486328125,3.1092214224141466,30000.0,61.470663757034586,18441.199127110376,止盈
9,2020-07-27 00:00:00+00:00,2020-11-16 00:00:00+00:00,2,10990.873046875,16716.111328125,2.3078653869417343,25365.45547715365,52.09084170868336,13213.07926129066,止盈
10,2020-07-27 00:00:00+00:00,2020-11-16 00:00:00+00:00,3,10990.873046875,16716.111328125,2.769438464330081,30438.54657258438,52.09084170868336,15855.695113548793,止盈
11,2021-05-26 00:00:00+00:00,2021-06-08 00:00:00+00:00,1,39294.19921875,33400.0693359375,0.3812863651288551,14982.342390766285,-15.0,-2247.351358614943,止损
12,2021-05-24 00:00:00+00:00,2021-06-21 00:00:00+00:00,1,38705.98046875,32900.0833984375,0.3875370115507223,15000.0,-15.000000000000005,-2250.0000000000005,止损
13,2021-05-25 00:00:00+00:00,2021-06-21 00:00:00+00:00,1,38402.22265625,32641.889257812498,0.39060239128004576,15000.0,-15.000000000000005,-2250.000000000001,止损
14,2021-05-27 00:00:00+00:00,2021-06-21 00:00:00+00:00,1,38436.96875,32671.423437499998,0.3924985553710893,15086.454707218703,-15.000000000000005,-2262.9682060828063,止损
15,2021-06-09 00:00:00+00:00,2021-06-21 00:00:00+00:00,1,37345.12109375,31743.3529296875,0.37795250250157103,14114.68197360702,-15.000000000000005,-2117.2022960410536,止损
16,2021-06-27 00:00:00+00:00,2021-07-20 00:00:00+00:00,1,34649.64453125,29452.197851562498,0.43290487400157085,15000.0,-15.000000000000005,-2250.000000000001,止损
17,2021-07-21 00:00:00+00:00,2021-08-20 00:00:00+00:00,1,32110.693359375,49339.17578125,0.45771868869688903,14697.664457601028,53.6534114323165,7885.798382378028,止盈
18,2021-07-22 00:00:00+00:00,2021-08-20 00:00:00+00:00,1,32313.10546875,49339.17578125,0.45950919593371936,14848.169112066782,52.69091306920627,7823.6358792078445,止盈
19,2021-06-28 00:00:00+00:00,2021-09-05 00:00:00+00:00,1,34434.3359375,51753.41015625,0.4356117111485969,15000.0,50.29594370626158,7544.391555939237,止盈
20,2021-07-23 00:00:00+00:00,2021-09-05 00:00:00+00:00,1,33581.55078125,51753.41015625,0.4429602534604364,14875.292245657016,54.112627178450964,8049.411434597407,止盈
21,2021-09-30 00:00:00+00:00,2021-10-20 00:00:00+00:00,1,43790.89453125,65992.8359375,0.3425369625481325,15000.0,50.69990381312325,7604.985571968488,止盈
22,2021-11-08 00:00:00+00:00,2021-11-18 00:00:00+00:00,2,67566.828125,57431.803906249996,0.3700040492318138,25000.0,-15.000000000000007,-3750.000000000002,止损
23,2021-11-08 00:00:00+00:00,2021-11-18 00:00:00+00:00,3,67566.828125,57431.803906249996,0.44400485907817655,30000.0,-15.000000000000007,-4500.000000000002,止损
24,2021-11-08 00:00:00+00:00,2021-11-18 00:00:00+00:00,4,67566.828125,57431.803906249996,0.44400485907817655,30000.0,-15.000000000000007,-4500.000000000002,止损
25,2021-11-28 00:00:00+00:00,2021-12-05 00:00:00+00:00,1,57248.45703125,48661.1884765625,0.26201579532199454,15000.0,-15.0,-2250.0,止损
26,2021-11-29 00:00:00+00:00,2021-12-05 00:00:00+00:00,1,57806.56640625,49135.5814453125,0.2594860918495621,15000.0,-15.000000000000002,-2250.0000000000005,止损
27,2021-12-12 00:00:00+00:00,2022-01-06 00:00:00+00:00,1,50098.3359375,42583.585546875,0.2994111424921019,15000.0,-14.999999999999996,-2249.9999999999995,止损
28,2021-12-15 00:00:00+00:00,2022-01-07 00:00:00+00:00,1,48896.72265625,41562.2142578125,0.30344448708301475,14837.440926466206,-15.000000000000002,-2225.6161389699314,止损
29,2021-12-16 00:00:00+00:00,2022-01-20 00:00:00+00:00,1,47665.42578125,40515.6119140625,0.3157421102755161,15049.982123352864,-14.999999999999996,-2257.4973185029294,止损
30,2021-12-13 00:00:00+00:00,2022-01-22 00:00:00+00:00,1,46737.48046875,39726.8583984375,0.32094156230842236,15000.0,-15.0,-2250.0,止损
31,2022-01-11 00:00:00+00:00,2022-01-22 00:00:00+00:00,1,42735.85546875,36325.4771484375,0.3389785859690659,14486.539856975245,-14.999999999999996,-2172.980978546286,止损
32,2022-01-12 00:00:00+00:00,2022-01-22 00:00:00+00:00,1,43949.1015625,37356.736328125,0.33160827809871324,14573.885893126093,-15.0,-2186.082883968914,止损
33,2022-01-26 00:00:00+00:00,2022-05-09 00:00:00+00:00,1,36852.12109375,31324.3029296875,0.4070322020770726,15000.0,-15.000000000000002,-2250.0,止损
34,2022-01-27 00:00:00+00:00,2022-05-09 00:00:00+00:00,1,37138.234375,31567.49921875,0.40389642244536567,15000.0,-15.000000000000002,-2250.0000000000005,止损
35,2022-01-28 00:00:00+00:00,2022-05-09 00:00:00+00:00,1,37784.33203125,32116.682226562498,0.39745227162984437,15017.468597836603,-15.000000000000005,-2252.6202896754917,止损
36,2022-01-29 00:00:00+00:00,2022-05-09 00:00:00+00:00,1,38138.1796875,32417.452734374998,0.39582537981847926,15096.059460390097,-15.000000000000005,-2264.4089190585155,止损
37,2022-05-15 00:00:00+00:00,2022-06-12 00:00:00+00:00,1,31305.11328125,26609.346289062498,0.48116306959607724,15062.864400459175,-15.000000000000007,-2259.4296600688776,止损
38,2022-05-13 00:00:00+00:00,2022-06-13 00:00:00+00:00,1,29283.103515625,24890.63798828125,0.5122407873194259,15000.0,-14.999999999999996,-2249.9999999999995,止损
39,2022-05-14 00:00:00+00:00,2022-06-13 00:00:00+00:00,1,30101.265625,25586.075781249998,0.49831791748789633,15000.0,-15.000000000000007,-2250.000000000001,止损
40,2022-05-16 00:00:00+00:00,2022-06-13 00:00:00+00:00,1,29862.91796875,25383.4802734375,0.5105110031663832,15245.348209701973,-14.999999999999996,-2286.8022314552954,止损
41,2022-06-20 00:00:00+00:00,2022-11-09 00:00:00+00:00,1,20599.537109375,17509.606542968748,0.7281717021288497,15000.0,-15.00000000000001,-2250.0000000000014,止损
42,2022-06-21 00:00:00+00:00,2022-11-09 00:00:00+00:00,1,20710.59765625,17604.0080078125,0.7242668825384347,15000.0,-15.000000000000002,-2250.0000000000005,止损
43,2022-06-22 00:00:00+00:00,2022-11-09 00:00:00+00:00,1,19987.029296875,16988.97490234375,0.7510936442398555,15012.1306721186,-14.999999999999996,-2251.8196008177893,止损
44,2022-06-23 00:00:00+00:00,2022-11-09 00:00:00+00:00,1,21085.876953125,17922.99541015625,0.7044757927104859,14854.4898815485,-14.999999999999996,-2228.173482232274,止损
45,2022-11-29 00:00:00+00:00,2023-02-20 00:00:00+00:00,2,16444.982421875,24829.1484375,1.5148201197769025,24911.190242033743,50.9831254332777,12700.503368018497,止盈
46,2022-11-23 00:00:00+00:00,2023-03-16 00:00:00+00:00,1,16610.70703125,25052.7890625,0.9030320004910236,15000.0,50.82313483326008,7623.4702249890115,止盈
47,2022-12-08 00:00:00+00:00,2023-03-17 00:00:00+00:00,2,17233.474609375,27423.9296875,1.4626343717603232,25206.272308530682,59.13174974349861,14904.909861145154,止盈
48,2022-12-08 00:00:00+00:00,2023-03-17 00:00:00+00:00,3,17233.474609375,27423.9296875,1.7551612461123878,30247.52677023682,59.13174974349861,17885.891833374186,止盈
49,2023-04-11 00:00:00+00:00,2023-06-10 00:00:00+00:00,2,30235.05859375,25699.7998046875,0.8748684081045592,26451.697580862136,-15.0,-3967.7546371293206,止损
50,2023-04-11 00:00:00+00:00,2023-06-10 00:00:00+00:00,3,30235.05859375,25699.7998046875,1.049842089725471,31742.03709703456,-15.0,-4761.305564555184,止损
51,2023-04-11 00:00:00+00:00,2023-06-10 00:00:00+00:00,4,30235.05859375,25699.7998046875,1.049842089725471,31742.03709703456,-15.0,-4761.305564555184,止损
52,2023-03-12 00:00:00+00:00,2023-10-24 00:00:00+00:00,1,22163.94921875,33901.52734375,0.7753726923557084,17185.320978977386,52.95797246760691,9100.997552516717,止盈
53,2023-06-16 00:00:00+00:00,2023-12-03 00:00:00+00:00,1,26327.462890625,39978.390625,0.584822305149015,15396.887536420461,51.850525024331105,7983.367025039808,止盈
54,2023-06-17 00:00:00+00:00,2023-12-03 00:00:00+00:00,1,26510.67578125,39978.390625,0.5840756889254647,15484.241220813225,50.801099733848375,7866.164825614988,止盈
55,2023-06-18 00:00:00+00:00,2023-12-03 00:00:00+00:00,1,26336.212890625,39978.390625,0.5893642367591315,15521.622009409204,51.80007387938171,8040.21166815234,止盈
56,2024-01-08 00:00:00+00:00,2024-01-22 00:00:00+00:00,2,46970.50390625,39924.9283203125,0.5505604274661055,25860.100708923375,-14.999999999999996,-3879.0151063385056,止损
57,2024-01-08 00:00:00+00:00,2024-01-22 00:00:00+00:00,3,46970.50390625,39924.9283203125,0.6606725129593265,31032.12085070805,-14.999999999999996,-4654.818127606206,止损
58,2023-12-02 00:00:00+00:00,2024-02-28 00:00:00+00:00,2,39476.33203125,62504.7890625,0.7702223766651064,30405.554279130243,58.33484482048728,17737.032905539654,止盈
59,2024-06-03 00:00:00+00:00,2024-07-05 00:00:00+00:00,2,68804.78125,58484.0640625,0.3762940737479004,25890.831429895657,-14.999999999999996,-3883.624714484348,止损
60,2024-05-04 00:00:00+00:00,2024-08-05 00:00:00+00:00,1,63891.47265625,54307.7517578125,0.2347731141008951,15000.0,-15.000000000000005,-2250.000000000001,止损
61,2024-05-13 00:00:00+00:00,2024-08-05 00:00:00+00:00,1,62901.44921875,53466.2318359375,0.23710049333242803,14913.964641090295,-15.000000000000002,-2237.0946961635445,止损
62,2024-07-09 00:00:00+00:00,2024-11-11 00:00:00+00:00,1,58009.2265625,88701.484375,0.2473703135810265,14349.760565358438,52.90926914778239,7592.353439587836,止盈
63,2024-09-09 00:00:00+00:00,2024-11-11 00:00:00+00:00,1,57019.53515625,88701.484375,0.2524239676481708,14393.09729759499,55.56332427462326,7997.283324624741,止盈
64,2024-05-14 00:00:00+00:00,2024-11-19 00:00:00+00:00,1,61552.7890625,92343.7890625,0.24312684437396268,14965.135367181789,50.02372836222769,7486.1186651186845,止盈
65,2024-08-08 00:00:00+00:00,2024-11-20 00:00:00+00:00,1,61710.13671875,94339.4921875,0.23742270507019847,14651.387590017406,52.87519555735468,7746.949840087699,止盈
