date,action,price,btc_amount,value,profit,profit_pct,reason
2021-06-02,BUY,37576.98,0.2528143560232887,9500.0,0.0,0.0,WaveTrend金叉(wt1=-67.7)
2021-06-07,STOP_LOSS,33582.86,0.2528143560232887,8490.229124320262,-1009.7708756797383,-10.629167112418298,止损：亏损10.6%
2021-07-23,BUY,33637.92,0.2539014798805707,8540.717668104247,0.0,0.0,WaveTrend金叉(wt1=-42.4)
2021-08-14,SELL,47102.03,0.2539014798805707,11959.275122379038,3418.557454274791,40.02658309431737,ADX>20且WaveTrend死叉
2021-09-30,BUY,43829.34,0.26896018168800395,11788.3472496653,0.0,0.0,WaveTrend金叉(wt1=-43.2)
2021-10-22,SELL,60693.59,0.26896018168800395,16324.15899369722,4535.811744031922,38.47707950884044,ADX>20且WaveTrend死叉
2021-12-08,BUY,50513.04,0.318677482220346,16097.368406495625,0.0,0.0,WaveTrend金叉(wt1=-67.9)
2022-01-05,STOP_LOSS,43432.51,0.318677482220346,13840.96293331,-2256.405473185625,-14.017231986037656,止损：亏损14.0%
2022-01-20,BUY,40697.03,0.342869816469882,13953.783206969281,0.0,0.0,WaveTrend金叉(wt1=-56.5)
2022-01-21,STOP_LOSS,36469.3,0.342869816469882,12504.22219778507,-1449.5610091842118,-10.38830106275567,止损：亏损10.4%
2022-01-26,BUY,36829.37,0.34148561998872856,12576.70024824428,0.0,0.0,WaveTrend金叉(wt1=-67.3)
2022-02-18,SELL,39994.66,0.34148561998872856,13657.601266338404,1080.901018094124,8.594472292086463,ADX>20且WaveTrend死叉
2022-04-28,BUY,39749.75,0.34222998170890884,13603.556215433699,0.0,0.0,WaveTrend金叉(wt1=-55.6)
2022-05-07,STOP_LOSS,35469.21,0.34222998170890884,12138.627089529446,-1464.929125904253,-10.768721815860479,止损：亏损10.8%
2022-05-14,BUY,30050.31,0.4063809506732096,12211.873545824657,0.0,0.0,WaveTrend金叉(wt1=-78.7)
2022-06-12,STOP_LOSS,26587.35,0.4063809506732096,10804.592568881359,-1407.2809769432988,-11.523874462526349,止损：亏损11.5%
2022-06-25,BUY,21474.19,0.5064198751025545,10874.956617728523,0.0,0.0,WaveTrend金叉(wt1=-58.9)
2022-07-01,STOP_LOSS,19249.33,0.5064198751025545,9748.243294407856,-1126.7133233206678,-10.36062361374281,止损：亏损10.4%
2022-07-02,BUY,19225.66,0.5099735957347571,9804.57896057389,0.0,0.0,WaveTrend金叉(wt1=-69.6)
2022-07-26,SELL,21258.08,0.5099735957347571,10841.059496017126,1036.4805354432356,10.57139260758799,ADX>20且WaveTrend死叉
2022-09-09,BUY,21369.73,0.5048840331274641,10789.235469244964,0.0,0.0,WaveTrend金叉(wt1=-57.3)
2022-09-20,STOP_LOSS,18879.95,0.5048840331274641,9532.185301244866,-1257.0501680000962,-11.650966109539041,止损：亏损11.7%
2022-11-29,BUY,16431.79,0.5839313799436866,9595.037809644871,0.0,0.0,WaveTrend金叉(wt1=-53.5)
2022-12-17,SELL,16780.55,0.5839313799436866,9798.689717714029,203.6519080691578,2.1224711367416207,ADX>20且WaveTrend死叉
2023-03-14,BUY,24757.56,0.3953744683365634,9788.50712231057,0.0,0.0,WaveTrend金叉(wt1=-41.9)
2023-04-03,SELL,27809.04,0.3953744683365634,10994.984404950226,1206.4772826396566,12.325447257322612,ADX>20且WaveTrend死叉
2023-05-23,BUY,27224.7,0.4016448497437343,10934.660540818244,0.0,0.0,WaveTrend金叉(wt1=-40.9)
2023-07-08,SELL,30294.36,0.4016448497437343,12167.573670282596,1232.913129464352,11.275275760614448,ADX>20且WaveTrend死叉
2023-08-07,BUY,29182.16,0.4148400260230695,12105.928013809378,0.0,0.0,WaveTrend金叉(wt1=-61.0)
2023-08-18,STOP_LOSS,26049.69,0.4148400260230695,10806.454077492894,-1299.4739363164845,-10.734195138399624,止损：亏损10.7%
2023-08-25,BUY,26051.29,0.4173086159767412,10871.427774308719,0.0,0.0,WaveTrend金叉(wt1=-53.3)
2023-09-25,SELL,26297.93,0.4173086159767412,10974.352771353222,102.92499704450347,0.9467477426261811,ADX>20且WaveTrend死叉
2024-05-04,BUY,63904.51,0.1716499590013443,10969.206521500997,0.0,0.0,WaveTrend金叉(wt1=-47.9)
2024-05-26,SELL,68488.29,0.1716499590013443,11756.012170572178,786.8056490711806,7.17285837885306,ADX>20且WaveTrend死叉
2024-07-02,BUY,62044.48,0.18884309914626762,11716.671888118619,0.0,0.0,WaveTrend金叉(wt1=-67.7)
2024-08-01,SELL,65300.21,0.18884309914626762,12331.494031302096,614.8221431834772,5.247412823832187,ADX>20且WaveTrend死叉
2025-02-22,BUY,96580.46,0.12736274940234205,12300.752924142922,0.0,0.0,WaveTrend金叉(wt1=-46.7)
2025-02-26,STOP_LOSS,84128.38,0.12736274940234205,10714.821779565005,-1585.931144577915,-12.892959921706726,止损：亏损12.9%
2025-03-02,BUY,94275.76,0.11449516118240682,10794.118336793901,0.0,0.0,WaveTrend金叉(wt1=-56.8)
2025-03-09,STOP_LOSS,80719.05,0.11449516118240682,9241.940640240757,-1552.1776965531444,-14.379846951114459,止损：亏损14.4%
2025-03-16,BUY,82572.37,0.11286522991974694,9319.549525068414,0.0,0.0,WaveTrend金叉(wt1=-66.0)
2025-04-04,SELL,83860.21,0.11286522991974694,9464.901882768263,145.35235769984865,1.5596500379001057,ADX>20且WaveTrend死叉
2025-09-06,BUY,110230.16,0.08579897067085152,9457.63426488327,0.0,0.0,WaveTrend金叉(wt1=-54.3)
2025-09-23,SELL,112043.66,0.08579897067085152,9613.230698194859,155.59643331158804,1.6451940194951962,ADX>20且WaveTrend死叉
